E_dt,E_e,PR,map,model,p95_dt,p95_e,perturbation,severity,sim
0.1934017358344196,1.0295932642487045,0.0,genroads,dave2_gru,0.9387856689028635,3.5568199999999996,dynamic_rain_filter,2,udacity
0.14787441236788182,0.7389042654028435,0.0,genroads,dave2_gru,0.8880107713690126,2.8285,dynamic_rain_filter,4,udacity
0.1434642879316956,0.8302913265306122,0.0,genroads,dave2_gru,0.8807467518333351,3.3499499999999998,dynamic_smoke_filter,2,udacity
0.212064428343768,1.0485165876777252,0.0,genroads,dave2_gru,0.9712932241419823,3.07475,dynamic_smoke_filter,4,udacity
0.128297174989192,0.6342812949640287,0.0,genroads,dave2_gru,0.8994226900459028,3.4194399999999994,dynamic_snow_filter,2,udacity
0.2169703382274342,1.0382411538461538,0.0,genroads,dave2_gru,0.7771128287735455,2.76095,dynamic_snow_filter,4,udacity
0.15910481677296295,0.7284999999999999,0.0,genroads,dave2_gru,0.6476484567463549,2.4164,dynamic_sun_filter,2,udacity
0.9008458049003926,0.4123343137254902,0.0,genroads,dave2_gru,1.5001188845252624,2.046274999999997,dynamic_sun_filter,4,udacity
0.02282211032348678,0.19283227990970656,1.0,genroads,dave2_gru,0.054248600811207415,0.44249,elastic,2,udacity
0.10512771436540128,0.6150493975903614,0.0,genroads,dave2_gru,0.3783892024672676,2.418125,elastic,4,udacity
0.9049762540998741,0.34857289719626167,0.0,genroads,dave2_gru,1.4082630282121524,2.2859599999999958,fog_filter,2,udacity
0.2829071245983413,0.5972095238095239,0.0,genroads,dave2_gru,1.2157014049688115,2.8140399999999994,fog_filter,4,udacity
0.13595347318503506,0.7793081632653064,0.0,genroads,dave2_gru,0.8235364603313186,3.45685,frost_filter,2,udacity
0.10076237820679725,0.5697671957671958,0.0,genroads,dave2_gru,0.6113201348284125,1.8047199999999985,frost_filter,4,udacity
0.1653140613690437,0.6480887005649717,0.0,genroads,dave2_gru,1.2039101153177147,2.824159999999999,gaussian_blur,2,udacity
0.13745783115186358,0.6642309178743961,0.0,genroads,dave2_gru,0.9892245625686459,2.8806999999999996,gaussian_blur,4,udacity
0.9122231704019969,0.3051666666666667,0.0,genroads,dave2_gru,1.4724695484217565,2.139579999999998,gaussian_noise,2,udacity
0.18214027843465483,0.9616526548672567,0.0,genroads,dave2_gru,0.8251886782245254,3.2799750000000003,gaussian_noise,4,udacity
0.018257718738846716,0.15236391304347824,1.0,genroads,dave2_gru,0.049817448173515515,0.37953499999999996,grayscale_filter,2,udacity
0.12407863151800969,0.5663072769953051,0.0,genroads,dave2_gru,0.669050098250277,2.8504750000000003,grayscale_filter,4,udacity
0.03385615838375086,0.22293072033898303,1.0,genroads,dave2_gru,0.0773120955679058,0.5406,histogram_equalisation,2,udacity
0.041414514775849544,0.317432634032634,1.0,genroads,dave2_gru,0.11776882947368869,0.8734599999999995,histogram_equalisation,4,udacity
0.15426741086859105,0.8621457547169813,0.0,genroads,dave2_gru,0.8657371941264957,3.089914999999999,impulse_noise,2,udacity
0.11521439712095781,0.6089550847457628,0.0,genroads,dave2_gru,0.7408616940027793,2.799,impulse_noise,4,udacity
0.8959150136410431,0.33113942307692307,0.0,genroads,dave2_gru,1.4615461073617106,2.1762599999999974,increase_brightness,2,udacity
0.13084024179700174,0.7151358974358974,0.0,genroads,dave2_gru,0.9617463257461255,2.870439999999998,increase_brightness,4,udacity
0.12879648906875552,0.6967803921568626,0.0,genroads,dave2_gru,0.8954352905679682,3.125794999999999,jpeg_filter,2,udacity
0.13404630745981846,0.6873733668341709,0.0,genroads,dave2_gru,0.9589841786920804,3.10716,jpeg_filter,4,udacity
0.13430472997685583,0.7319127753303964,0.0,genroads,dave2_gru,0.723771874196823,2.6333099999999994,low_pass_filter,2,udacity
0.025976717105655148,0.1969402654867257,1.0,genroads,dave2_gru,0.06095122953532074,0.5019499999999999,low_pass_filter,4,udacity
0.16855590899198655,0.6877289772727273,0.0,genroads,dave2_gru,1.1507747120666227,2.8819999999999997,motion_blur,2,udacity
0.13308518475431189,0.6918674418604651,0.0,genroads,dave2_gru,0.7096716161482859,2.56008,motion_blur,4,udacity
0.2993090156069213,0.7428530120481929,0.0,genroads,dave2_gru,1.209093435349933,2.9434099999999983,phase_scrambling,2,udacity
0.8729519109115338,0.4200774647887324,0.0,genroads,dave2_gru,1.226331377157543,2.4779999999999998,phase_scrambling,4,udacity
0.1790631267583671,0.9427966386554623,0.0,genroads,dave2_gru,0.8282951517177447,2.9738799999999994,pixelate,2,udacity
0.16943818544915412,0.666439548022599,0.0,genroads,dave2_gru,1.0955068910517185,2.952099999999999,pixelate,4,udacity
0.16106915151029846,0.8276409999999998,0.0,genroads,dave2_gru,0.8269028310812644,3.187584999999999,poisson_noise,2,udacity
0.08054979364838338,0.42409560439560434,0.0,genroads,dave2_gru,0.1978173718369128,1.7431149999999997,poisson_noise,4,udacity
0.1352490116778388,0.7395682242990653,0.0,genroads,dave2_gru,0.9052065277529743,2.6344099999999995,posterize_filter,2,udacity
0.21340591616416482,0.7294304721030043,0.0,genroads,dave2_gru,0.8114119380834889,2.952599999999998,posterize_filter,4,udacity
0.2187916884250189,1.0093379421221864,0.0,genroads,dave2_gru,0.6903001310805245,2.4573,sample_pairing_filter,2,udacity
0.536284897806607,1.554862962962963,0.0,genroads,dave2_gru,1.1164079567145866,3.72838,sample_pairing_filter,4,udacity
0.15323576178573145,0.6512296774193549,0.0,genroads,dave2_gru,1.3188872339001025,2.8400399999999966,saturation_decrease_filter,2,udacity
0.2371830920522231,0.595808108108108,0.0,genroads,dave2_gru,1.2213752432723082,3.4832649999999994,saturation_decrease_filter,4,udacity
0.1435336720103637,0.6457900621118011,0.0,genroads,dave2_gru,1.1451622213420607,2.5585,saturation_filter,2,udacity
0.1674445635564988,0.6506815476190477,0.0,genroads,dave2_gru,1.206013649935569,2.8793550000000008,saturation_filter,4,udacity
0.22780939671842598,0.8060099337748344,0.0,genroads,dave2_gru,1.0649043152584952,2.2746500000000003,scale_image,2,udacity
0.9816894311652627,0.7937962962962962,0.0,genroads,dave2_gru,1.1480853141807312,2.186939999999997,scale_image,4,udacity
0.17717596660622775,0.9314633928571429,0.0,genroads,dave2_gru,0.8653746507431374,3.3088699999999998,speckle_noise_filter,2,udacity
0.09293302948176468,0.5488046948356807,0.0,genroads,dave2_gru,0.3241771750058201,2.1828199999999995,speckle_noise_filter,4,udacity
0.047015686965947955,0.2859627397260274,0.0,genroads,dave2_gru,0.10061151977094547,0.69062,splatter_mapping,2,udacity
0.16000430363029894,0.7050919117647059,0.0,genroads,dave2_gru,1.0730341595004034,2.8005750000000003,splatter_mapping,4,udacity
0.021114862960362406,0.15968269662921347,1.0,genroads,dave2_gru,0.054158395745207845,0.43216,static_object_overlay,2,udacity
0.18534386214712012,1.0059367567567568,0.0,genroads,dave2_gru,0.9352532860408552,3.4438799999999996,static_object_overlay,4,udacity
0.6082760321337879,1.1561927536231886,0.0,genroads,dave2_gru,0.948698508340635,3.6338399999999993,translate_image,2,udacity
0.4307442134700812,1.1878295918367348,0.0,genroads,dave2_gru,1.12687434719569,2.722425,translate_image,4,udacity
0.16473267294747282,0.6884741721854305,0.0,genroads,dave2_gru,1.3469407589102862,2.91125,white_balance_filter,2,udacity
0.16513217350182674,0.6688960526315789,0.0,genroads,dave2_gru,1.3252477721150961,2.983969999999999,white_balance_filter,4,udacity
0.8921747834085225,0.377043956043956,0.0,genroads,dave2_gru,1.4229870183142916,2.33155,zigzag_mapping,2,udacity
0.12014612744070777,0.5841161073825504,0.0,genroads,dave2_gru,1.0481590483239833,2.093439999999999,zigzag_mapping,4,udacity
