E_dt,E_e,PR,map,model,p95_dt,p95_e,perturbation,severity,sim
0.03925354791334299,0.2276625725338491,1.0,genroads,vit,0.17103148457053108,1.0420749999999996,frost_filter,4,udacity
0.014596015911159523,0.15531221896383188,1.0,genroads,vit,0.04263481666232039,0.36006,gaussian_blur,2,udacity
0.0375893548740132,0.20168817829457364,1.0,genroads,vit,0.08560126618146666,0.573935,gaussian_blur,4,udacity
0.021931958322800437,0.16730775945683804,1.0,genroads,vit,0.05753887925973865,0.40290000000000004,gaussian_noise,2,udacity
0.03408034596045039,0.18217390057361377,1.0,genroads,vit,0.08331311817613715,0.420525,gaussian_noise,4,udacity
0.01692730331882448,0.1272478386167147,1.0,genroads,vit,0.04178238385003459,0.3408,grayscale_filter,2,udacity
0.1280264676256058,0.4509137741046832,0.0,genroads,vit,0.7288086055080243,1.7178499999999999,grayscale_filter,4,udacity
0.053411471395421836,0.2538021696252466,1.0,genroads,vit,0.11952955759252254,0.5468249999999997,histogram_equalisation,2,udacity
0.3854773044513693,1.088393656716418,0.0,genroads,vit,1.130932591884222,3.552224999999999,histogram_equalisation,4,udacity
0.020022853060824634,0.159577519379845,1.0,genroads,vit,0.05375391983180782,0.393215,impulse_noise,2,udacity
0.027432371252764653,0.16519626078619368,1.0,genroads,vit,0.07218042459370155,0.41269,impulse_noise,4,udacity
0.0239663496640979,0.2094815609756098,1.0,genroads,vit,0.06328556195037502,0.54788,increase_brightness,2,udacity
0.13953466217652113,0.6971011695906433,1.0,genroads,vit,0.42295728703096225,2.075925,increase_brightness,4,udacity
0.02214214804331859,0.18793092682926832,1.0,genroads,vit,0.06011724923341635,0.5189799999999999,jpeg_filter,2,udacity
0.06767646599296459,0.32674034416826003,1.0,genroads,vit,0.1716449861999124,0.799175,jpeg_filter,4,udacity
0.028600325145633636,0.22251116504854368,1.0,genroads,vit,0.07701804093118844,0.564965,low_pass_filter,2,udacity
0.038812223212560656,0.2535606557377049,1.0,genroads,vit,0.10390381975549096,0.6800599999999999,low_pass_filter,4,udacity
0.015646147128272198,0.15875808966861601,1.0,genroads,vit,0.04262657873032265,0.374925,motion_blur,2,udacity
0.018789163304894486,0.14129941804073715,1.0,genroads,vit,0.0452759810788401,0.31795,motion_blur,4,udacity
0.034743818698169074,0.17499189789123196,1.0,genroads,vit,0.08953818474793321,0.5069,phase_scrambling,2,udacity
0.5490750294107571,1.1070237179487177,0.0,genroads,vit,1.121017438379114,3.7291499999999997,phase_scrambling,4,udacity
0.014558958860125351,0.1647420233463035,1.0,genroads,vit,0.042503532512553954,0.40717499999999995,pixelate,2,udacity
0.026532275972762327,0.18336248775710087,1.0,genroads,vit,0.06739674837074472,0.4502,pixelate,4,udacity
0.01761319675618824,0.16625439453125002,1.0,genroads,vit,0.046813632478807404,0.42036999999999997,poisson_noise,2,udacity
0.023074045334428563,0.1730976516634051,1.0,genroads,vit,0.05639298442725494,0.43567499999999987,poisson_noise,4,udacity
0.014847510208638892,0.16525112195121952,1.0,genroads,vit,0.04177294626968059,0.41065999999999997,posterize_filter,2,udacity
0.1927948420786532,0.7571527977044477,0.0,genroads,vit,0.6116099240433995,2.2664599999999995,posterize_filter,4,udacity
0.0893195375760699,0.19369826958105646,1.0,genroads,vit,0.23598329475586222,0.4589049999999999,sample_pairing_filter,2,udacity
0.44482344584571454,1.2828638115631692,0.0,genroads,vit,1.1262371596186302,3.54078,sample_pairing_filter,4,udacity
0.019432194124785928,0.1196669548511047,1.0,genroads,vit,0.04796178351177021,0.3195,saturation_decrease_filter,2,udacity
0.11568488205728644,0.38896381842456607,0.0,genroads,vit,0.7337280740279944,2.037320000000001,saturation_decrease_filter,4,udacity
0.023105305387244444,0.1976048514851485,1.0,genroads,vit,0.055328685078636176,0.5097749999999999,saturation_filter,2,udacity
0.03383033241640922,0.21627977755308392,1.0,genroads,vit,0.09620397348232955,0.6263799999999996,saturation_filter,4,udacity
0.16081558064515317,0.6645791848617175,0.0,genroads,vit,0.48501735492604775,1.5159699999999998,scale_image,2,udacity
0.6859782943075717,2.5711139999999997,0.0,genroads,vit,1.1369327171049963,3.5665,scale_image,4,udacity
0.016190959667790786,0.16414741966893864,1.0,genroads,vit,0.045421550602379575,0.41420999999999997,speckle_noise_filter,2,udacity
0.020747379351897233,0.17570610465116282,1.0,genroads,vit,0.05575336480776371,0.42571499999999984,speckle_noise_filter,4,udacity
0.04307366756690802,0.26328285163776494,1.0,genroads,vit,0.12303570007268155,0.8299449999999998,splatter_mapping,2,udacity
0.5023502211753201,1.0109134831460673,0.0,genroads,vit,1.0530938234357372,3.5865150000000003,splatter_mapping,4,udacity
0.021797466333615654,0.19172697176241482,1.0,genroads,vit,0.05127076693094908,0.43288999999999994,static_object_overlay,2,udacity
0.03171973410030542,0.2440501945525292,1.0,genroads,vit,0.08554251199050898,0.5756899999999999,static_object_overlay,4,udacity
0.6274515987558816,1.0493113333333335,0.0,genroads,vit,1.0476821675970511,3.5774749999999993,translate_image,2,udacity
0.5356642802840996,1.078283615819209,0.0,genroads,vit,0.9655644598451021,3.5803799999999995,translate_image,4,udacity
0.015740738749141617,0.1699558479532164,1.0,genroads,vit,0.04416178398913942,0.4304,white_balance_filter,2,udacity
0.016192399862101834,0.17272360975609757,1.0,genroads,vit,0.04561858153998524,0.43341999999999997,white_balance_filter,4,udacity
0.017335001786912736,0.1652842259006816,1.0,genroads,vit,0.047037817654130336,0.40734999999999993,zigzag_mapping,2,udacity
0.01688680541298147,0.1662020447906524,1.0,genroads,vit,0.044552491429824495,0.41336999999999996,zigzag_mapping,4,udacity
